timestamp,open,high,low,close,volume
2024-01-01 00:00:00,1.10350,1.10420,1.10280,1.10390,12453
2024-01-01 01:00:00,1.10390,1.10510,1.10350,1.10480,11876
2024-01-01 02:00:00,1.10480,1.10540,1.10320,1.10350,9876
2024-01-01 03:00:00,1.10350,1.10400,1.10210,1.10240,11234
2024-01-01 04:00:00,1.10240,1.10320,1.10180,1.10300,10543
2024-01-01 05:00:00,1.10300,1.10450,1.10260,1.10410,13456
2024-01-01 06:00:00,1.10410,1.10580,1.10390,1.10550,15678
2024-01-01 07:00:00,1.10550,1.10630,1.10480,1.10590,14321
2024-01-01 08:00:00,1.10590,1.10670,1.10520,1.10640,16543
2024-01-01 09:00:00,1.10640,1.10750,1.10610,1.10720,18765
2024-01-01 10:00:00,1.10720,1.10810,1.10680,1.10780,19876
2024-01-01 11:00:00,1.10780,1.10840,1.10710,1.10800,17654
2024-01-01 12:00:00,1.10800,1.10860,1.10730,1.10790,15432
2024-01-01 13:00:00,1.10790,1.10820,1.10650,1.10680,14321
2024-01-01 14:00:00,1.10680,1.10700,1.10540,1.10560,13210
2024-01-01 15:00:00,1.10560,1.10620,1.10480,1.10510,12345
2024-01-01 16:00:00,1.10510,1.10580,1.10430,1.10460,11234
2024-01-01 17:00:00,1.10460,1.10510,1.10370,1.10400,10987
2024-01-01 18:00:00,1.10400,1.10480,1.10310,1.10330,11543
2024-01-01 19:00:00,1.10330,1.10420,1.10260,1.10380,12109
2024-01-01 20:00:00,1.10380,1.10450,1.10290,1.10350,11876
2024-01-01 21:00:00,1.10350,1.10400,1.10240,1.10270,10654
2024-01-01 22:00:00,1.10270,1.10330,1.10180,1.10210,9876
2024-01-01 23:00:00,1.10210,1.10290,1.10150,1.10240,10432
2024-01-02 00:00:00,1.10240,1.10350,1.10200,1.10320,11234
2024-01-02 01:00:00,1.10320,1.10410,1.10280,1.10380,10876
2024-01-02 02:00:00,1.10380,1.10460,1.10300,1.10430,11456
2024-01-02 03:00:00,1.10430,1.10520,1.10400,1.10500,12765
2024-01-02 04:00:00,1.10500,1.10580,1.10450,1.10530,13432
2024-01-02 05:00:00,1.10530,1.10640,1.10510,1.10620,14567
2024-01-02 06:00:00,1.10620,1.10710,1.10580,1.10690,15678
2024-01-02 07:00:00,1.10690,1.10750,1.10630,1.10710,16543
2024-01-02 08:00:00,1.10710,1.10780,1.10650,1.10740,17890
2024-01-02 09:00:00,1.10740,1.10820,1.10700,1.10800,18765
2024-01-02 10:00:00,1.10800,1.10890,1.10760,1.10870,19876
2024-01-02 11:00:00,1.10870,1.10930,1.10820,1.10900,20987
2024-01-02 12:00:00,1.10900,1.10910,1.10800,1.10820,18765
2024-01-02 13:00:00,1.10820,1.10850,1.10720,1.10740,16543
2024-01-02 14:00:00,1.10740,1.10780,1.10660,1.10680,15432
2024-01-02 15:00:00,1.10680,1.10710,1.10590,1.10610,14321
2024-01-02 16:00:00,1.10610,1.10650,1.10520,1.10540,13210
2024-01-02 17:00:00,1.10540,1.10600,1.10480,1.10510,12345
2024-01-02 18:00:00,1.10510,1.10560,1.10430,1.10460,11456
2024-01-02 19:00:00,1.10460,1.10520,1.10400,1.10500,10987
2024-01-02 20:00:00,1.10500,1.10580,1.10450,1.10550,11876
2024-01-02 21:00:00,1.10550,1.10630,1.10510,1.10610,12765
2024-01-02 22:00:00,1.10610,1.10680,1.10540,1.10570,11432
2024-01-02 23:00:00,1.10570,1.10620,1.10510,1.10540,10654
